CU651604.3	chr1
FR651959.1	Zv9_scaffold3561
FR651960.1	Zv9_scaffold3562
FR651961.1	Zv9_scaffold3563
FR651962.1	Zv9_scaffold3564
FR651963.1	whole genome shotgun sequencing
FR651964.1	whole genome shotgun sequencing
FR651965.1	whole genome shotgun sequencing
FR651966.1	whole genome shotgun sequencing
FR651967.1	whole genome shotgun sequencing
FR651968.1	whole genome shotgun sequencing
FR651969.1	whole genome shotgun sequencing
FR651970.1	whole genome shotgun sequencing
FR651971.1	whole genome shotgun sequencing
FR651972.1	whole genome shotgun sequencing
FR651973.1	whole genome shotgun sequencing
FR651974.1	whole genome shotgun sequencing
FR651975.1	whole genome shotgun sequencing
FR651976.1	whole genome shotgun sequencing
FR651977.1	whole genome shotgun sequencing
FR651978.1	whole genome shotgun sequencing
FR651979.1	whole genome shotgun sequencing
FR651980.1	whole genome shotgun sequencing
FR651981.1	whole genome shotgun sequencing
FR651982.1	whole genome shotgun sequencing
FR651983.1	whole genome shotgun sequencing
FR651984.1	whole genome shotgun sequencing
FR651985.1	whole genome shotgun sequencing
FR651986.1	whole genome shotgun sequencing
FR651987.1	whole genome shotgun sequencing
FR651988.1	whole genome shotgun sequencing
FR651989.1	whole genome shotgun sequencing
FR651990.1	whole genome shotgun sequencing
FR651991.1	whole genome shotgun sequencing
FR651992.1	whole genome shotgun sequencing
FR651993.1	whole genome shotgun sequencing
FR651994.1	whole genome shotgun sequencing
FR651995.1	whole genome shotgun sequencing
FR651996.1	whole genome shotgun sequencing
FR651997.1	whole genome shotgun sequencing
FR651998.1	whole genome shotgun sequencing
FR651999.1	whole genome shotgun sequencing
FR652000.1	whole genome shotgun sequencing
FR652001.1	whole genome shotgun sequencing
FR652002.1	whole genome shotgun sequencing
FR652003.1	whole genome shotgun sequencing
FR652004.1	whole genome shotgun sequencing
FR652005.1	whole genome shotgun sequencing
FR652006.1	whole genome shotgun sequencing
FR652007.1	whole genome shotgun sequencing
FR652008.1	whole genome shotgun sequencing
FR652009.1	whole genome shotgun sequencing
FR652010.1	whole genome shotgun sequencing
FR652011.1	whole genome shotgun sequencing
FR652012.1	whole genome shotgun sequencing
FR652013.1	whole genome shotgun sequencing
FR652014.1	whole genome shotgun sequencing
FR652015.1	whole genome shotgun sequencing
FR652016.1	whole genome shotgun sequencing
FR652017.1	whole genome shotgun sequencing
FR652018.1	whole genome shotgun sequencing
FR652019.1	whole genome shotgun sequencing
FR652020.1	whole genome shotgun sequencing
FR652021.1	whole genome shotgun sequencing
FR652022.1	whole genome shotgun sequencing
FR652023.1	whole genome shotgun sequencing
FR652024.1	whole genome shotgun sequencing
FR652025.1	whole genome shotgun sequencing
FR652026.1	whole genome shotgun sequencing
FR652027.1	whole genome shotgun sequencing
FR652028.1	whole genome shotgun sequencing
FR652029.1	whole genome shotgun sequencing
FR652030.1	whole genome shotgun sequencing
FR652031.1	whole genome shotgun sequencing
FR652032.1	whole genome shotgun sequencing
FR652033.1	whole genome shotgun sequencing
FR652034.1	whole genome shotgun sequencing
FR652035.1	whole genome shotgun sequencing
FR652036.1	whole genome shotgun sequencing
FR652037.1	whole genome shotgun sequencing
FR652038.1	whole genome shotgun sequencing
FR652039.1	whole genome shotgun sequencing
FR652040.1	whole genome shotgun sequencing
FR652041.1	whole genome shotgun sequencing
FR652042.1	whole genome shotgun sequencing
FR652043.1	whole genome shotgun sequencing
FR652044.1	whole genome shotgun sequencing
FR652045.1	whole genome shotgun sequencing
FR652046.1	whole genome shotgun sequencing
FR652047.1	whole genome shotgun sequencing
FR652048.1	whole genome shotgun sequencing
FR652049.1	whole genome shotgun sequencing
FR652050.1	whole genome shotgun sequencing
FR652051.1	whole genome shotgun sequencing
FR652052.1	whole genome shotgun sequencing
FR652053.1	whole genome shotgun sequencing
FR652054.1	whole genome shotgun sequencing
FR652055.1	whole genome shotgun sequencing
FR652056.1	whole genome shotgun sequencing
FR652057.1	whole genome shotgun sequencing
FR652058.1	whole genome shotgun sequencing
FR652059.1	whole genome shotgun sequencing
FR652060.1	whole genome shotgun sequencing
FR652061.1	whole genome shotgun sequencing
FR652062.1	whole genome shotgun sequencing
FR652063.1	whole genome shotgun sequencing
FR652064.1	whole genome shotgun sequencing
FR652065.1	whole genome shotgun sequencing
FR652066.1	whole genome shotgun sequencing
FR652067.1	whole genome shotgun sequencing
FR652068.1	whole genome shotgun sequencing
FR652069.1	whole genome shotgun sequencing
FR652070.1	whole genome shotgun sequencing
FR652071.1	whole genome shotgun sequencing
FR652072.1	whole genome shotgun sequencing
FR652073.1	whole genome shotgun sequencing
FR652074.1	whole genome shotgun sequencing
FR652075.1	whole genome shotgun sequencing
FR652076.1	whole genome shotgun sequencing
FR652077.1	whole genome shotgun sequencing
FR652078.1	whole genome shotgun sequencing
FR652079.1	whole genome shotgun sequencing
FR652080.1	whole genome shotgun sequencing
FR652081.1	whole genome shotgun sequencing
FR652082.1	whole genome shotgun sequencing
FR652083.1	whole genome shotgun sequencing
FR652084.1	whole genome shotgun sequencing
FR652085.1	whole genome shotgun sequencing
FR652086.1	whole genome shotgun sequencing
FR652087.1	whole genome shotgun sequencing
FR652088.1	whole genome shotgun sequencing
FR652089.1	whole genome shotgun sequencing
FR652090.1	whole genome shotgun sequencing
FR652091.1	whole genome shotgun sequencing
FR652092.1	whole genome shotgun sequencing
FR652093.1	whole genome shotgun sequencing
FR652094.1	whole genome shotgun sequencing
FR652095.1	whole genome shotgun sequencing
FR652096.1	whole genome shotgun sequencing
FR652097.1	whole genome shotgun sequencing
FR652098.1	whole genome shotgun sequencing
FR652099.1	whole genome shotgun sequencing
FR652100.1	whole genome shotgun sequencing
FR652101.1	whole genome shotgun sequencing
FR652102.1	whole genome shotgun sequencing
FR652103.1	whole genome shotgun sequencing
FR652104.1	whole genome shotgun sequencing
FR652105.1	whole genome shotgun sequencing
FR652106.1	whole genome shotgun sequencing
FR652107.1	whole genome shotgun sequencing
FR652108.1	whole genome shotgun sequencing
FR652109.1	whole genome shotgun sequencing
FR652110.1	whole genome shotgun sequencing
FR652111.1	whole genome shotgun sequencing
FR652112.1	whole genome shotgun sequencing
FR652113.1	whole genome shotgun sequencing
FR652114.1	whole genome shotgun sequencing
FR652115.1	whole genome shotgun sequencing
FR652116.1	whole genome shotgun sequencing
FR652117.1	whole genome shotgun sequencing
FR652118.1	whole genome shotgun sequencing
FR652119.1	whole genome shotgun sequencing
FR652120.1	whole genome shotgun sequencing
FR652121.1	whole genome shotgun sequencing
FR652122.1	whole genome shotgun sequencing
FR652123.1	whole genome shotgun sequencing
FR652124.1	whole genome shotgun sequencing
FR652125.1	whole genome shotgun sequencing
FR652126.1	whole genome shotgun sequencing
FR652127.1	whole genome shotgun sequencing
FR652128.1	whole genome shotgun sequencing
FR652129.1	whole genome shotgun sequencing
FR652130.1	whole genome shotgun sequencing
FR652131.1	whole genome shotgun sequencing
FR652132.1	whole genome shotgun sequencing
FR652133.1	whole genome shotgun sequencing
FR652134.1	whole genome shotgun sequencing
FR652135.1	whole genome shotgun sequencing
FR652136.1	whole genome shotgun sequencing
FR652137.1	whole genome shotgun sequencing
FR652138.1	whole genome shotgun sequencing
FR652139.1	whole genome shotgun sequencing
FR652140.1	whole genome shotgun sequencing
FR652141.1	whole genome shotgun sequencing
FR652142.1	whole genome shotgun sequencing
FR652143.1	whole genome shotgun sequencing
FR652144.1	whole genome shotgun sequencing
FR652145.1	whole genome shotgun sequencing
FR652146.1	whole genome shotgun sequencing
FR652147.1	whole genome shotgun sequencing
FR652148.1	whole genome shotgun sequencing
FR652149.1	whole genome shotgun sequencing
FR652150.1	whole genome shotgun sequencing
FR652151.1	whole genome shotgun sequencing
FR652152.1	whole genome shotgun sequencing
FR652153.1	whole genome shotgun sequencing
FR652154.1	whole genome shotgun sequencing
FR652155.1	whole genome shotgun sequencing
FR652156.1	whole genome shotgun sequencing
FR652157.1	whole genome shotgun sequencing
FR652158.1	whole genome shotgun sequencing
FR652159.1	whole genome shotgun sequencing
FR652160.1	whole genome shotgun sequencing
FR652161.1	whole genome shotgun sequencing
FR652162.1	whole genome shotgun sequencing
FR652163.1	whole genome shotgun sequencing
FR652164.1	whole genome shotgun sequencing
FR652165.1	whole genome shotgun sequencing
FR652166.1	whole genome shotgun sequencing
FR652167.1	whole genome shotgun sequencing
FR652168.1	whole genome shotgun sequencing
FR652169.1	whole genome shotgun sequencing
FR652170.1	whole genome shotgun sequencing
FR652171.1	whole genome shotgun sequencing
FR652172.1	whole genome shotgun sequencing
FR652173.1	whole genome shotgun sequencing
FR652174.1	whole genome shotgun sequencing
FR652175.1	whole genome shotgun sequencing
FR652176.1	whole genome shotgun sequencing
FR652177.1	whole genome shotgun sequencing
FR652178.1	whole genome shotgun sequencing
FR652179.1	whole genome shotgun sequencing
FR652180.1	whole genome shotgun sequencing
FR652181.1	whole genome shotgun sequencing
FR652182.1	whole genome shotgun sequencing
FR652183.1	whole genome shotgun sequencing
FR652184.1	whole genome shotgun sequencing
FR652185.1	whole genome shotgun sequencing
FR652186.1	whole genome shotgun sequencing
FR652187.1	whole genome shotgun sequencing
FR652188.1	whole genome shotgun sequencing
FR652189.1	whole genome shotgun sequencing
FR652190.1	whole genome shotgun sequencing
FR652191.1	whole genome shotgun sequencing
FR652192.1	whole genome shotgun sequencing
FR652193.1	whole genome shotgun sequencing
FR652194.1	whole genome shotgun sequencing
FR652195.1	whole genome shotgun sequencing
FR652196.1	whole genome shotgun sequencing
FR652197.1	whole genome shotgun sequencing
FR652198.1	whole genome shotgun sequencing
FR652199.1	whole genome shotgun sequencing
FR652200.1	whole genome shotgun sequencing
FR652201.1	whole genome shotgun sequencing
FR652202.1	whole genome shotgun sequencing
FR652203.1	whole genome shotgun sequencing
FR652204.1	whole genome shotgun sequencing
FR652205.1	whole genome shotgun sequencing
FR652206.1	whole genome shotgun sequencing
FR652207.1	whole genome shotgun sequencing
FR652208.1	whole genome shotgun sequencing
FR652209.1	whole genome shotgun sequencing
FR652210.1	whole genome shotgun sequencing
FR652211.1	whole genome shotgun sequencing
FR652212.1	whole genome shotgun sequencing
FR652213.1	whole genome shotgun sequencing
FR652214.1	whole genome shotgun sequencing
FR652215.1	whole genome shotgun sequencing
FR652216.1	whole genome shotgun sequencing
FR652217.1	whole genome shotgun sequencing
FR652218.1	whole genome shotgun sequencing
FR652219.1	whole genome shotgun sequencing
FR652220.1	whole genome shotgun sequencing
FR652221.1	whole genome shotgun sequencing
FR652222.1	whole genome shotgun sequencing
FR652223.1	whole genome shotgun sequencing
FR652224.1	whole genome shotgun sequencing
FR652225.1	whole genome shotgun sequencing
FR652226.1	whole genome shotgun sequencing
FR652227.1	whole genome shotgun sequencing
FR652228.1	whole genome shotgun sequencing
FR652229.1	whole genome shotgun sequencing
FR652230.1	whole genome shotgun sequencing
FR652231.1	whole genome shotgun sequencing
FR652232.1	whole genome shotgun sequencing
FR652233.1	whole genome shotgun sequencing
FR652234.1	whole genome shotgun sequencing
FR652235.1	whole genome shotgun sequencing
FR652236.1	whole genome shotgun sequencing
FR652237.1	whole genome shotgun sequencing
FR652238.1	whole genome shotgun sequencing
FR652239.1	whole genome shotgun sequencing
FR652240.1	whole genome shotgun sequencing
FR652241.1	whole genome shotgun sequencing
FR652242.1	whole genome shotgun sequencing
FR652243.1	whole genome shotgun sequencing
FR652244.1	whole genome shotgun sequencing
FR652245.1	whole genome shotgun sequencing
FR652246.1	whole genome shotgun sequencing
FR652247.1	whole genome shotgun sequencing
FR652248.1	whole genome shotgun sequencing
FR652249.1	whole genome shotgun sequencing
FR652250.1	whole genome shotgun sequencing
FR652251.1	whole genome shotgun sequencing
FR652252.1	whole genome shotgun sequencing
FR652253.1	whole genome shotgun sequencing
FR652254.1	whole genome shotgun sequencing
FR652255.1	whole genome shotgun sequencing
FR652256.1	whole genome shotgun sequencing
FR652257.1	whole genome shotgun sequencing
FR652258.1	whole genome shotgun sequencing
FR652259.1	whole genome shotgun sequencing
FR652260.1	whole genome shotgun sequencing
FR652261.1	whole genome shotgun sequencing
FR652262.1	whole genome shotgun sequencing
FR652263.1	whole genome shotgun sequencing
FR652264.1	whole genome shotgun sequencing
FR652265.1	whole genome shotgun sequencing
FR652266.1	whole genome shotgun sequencing
FR652267.1	whole genome shotgun sequencing
FR652268.1	whole genome shotgun sequencing
FR652269.1	whole genome shotgun sequencing
FR652270.1	whole genome shotgun sequencing
FR652271.1	whole genome shotgun sequencing
FR652272.1	whole genome shotgun sequencing
FR652273.1	whole genome shotgun sequencing
FR652274.1	whole genome shotgun sequencing
FR652275.1	whole genome shotgun sequencing
FR652276.1	whole genome shotgun sequencing
FR652277.1	whole genome shotgun sequencing
FR652278.1	whole genome shotgun sequencing
FR652279.1	whole genome shotgun sequencing
FR652280.1	whole genome shotgun sequencing
FR652281.1	whole genome shotgun sequencing
FR652282.1	whole genome shotgun sequencing
FR652283.1	whole genome shotgun sequencing
FR652284.1	whole genome shotgun sequencing
FR652285.1	whole genome shotgun sequencing
FR652286.1	whole genome shotgun sequencing
FR652287.1	whole genome shotgun sequencing
FR652288.1	whole genome shotgun sequencing
FR652289.1	whole genome shotgun sequencing
FR652290.1	whole genome shotgun sequencing
FR652291.1	whole genome shotgun sequencing
FR652292.1	whole genome shotgun sequencing
FR652293.1	whole genome shotgun sequencing
FR652294.1	whole genome shotgun sequencing
FR652295.1	whole genome shotgun sequencing
FR652296.1	whole genome shotgun sequencing
FR652297.1	whole genome shotgun sequencing
FR652298.1	whole genome shotgun sequencing
FR652299.1	whole genome shotgun sequencing
FR652300.1	whole genome shotgun sequencing
FR652301.1	whole genome shotgun sequencing
FR652302.1	whole genome shotgun sequencing
FR652303.1	whole genome shotgun sequencing
FR652304.1	whole genome shotgun sequencing
FR652305.1	whole genome shotgun sequencing
FR652306.1	whole genome shotgun sequencing
FR652307.1	whole genome shotgun sequencing
FR652308.1	whole genome shotgun sequencing
FR652309.1	whole genome shotgun sequencing
FR652310.1	whole genome shotgun sequencing
FR652311.1	whole genome shotgun sequencing
FR652312.1	whole genome shotgun sequencing
FR652313.1	whole genome shotgun sequencing
FR652314.1	whole genome shotgun sequencing
FR652315.1	whole genome shotgun sequencing
FR652316.1	whole genome shotgun sequencing
FR652317.1	whole genome shotgun sequencing
FR652318.1	whole genome shotgun sequencing
FR652319.1	whole genome shotgun sequencing
FR652320.1	whole genome shotgun sequencing
FR652321.1	whole genome shotgun sequencing
FR652322.1	whole genome shotgun sequencing
FR652323.1	whole genome shotgun sequencing
FR652324.1	whole genome shotgun sequencing
FR652325.1	whole genome shotgun sequencing
FR652326.1	whole genome shotgun sequencing
FR652327.1	whole genome shotgun sequencing
FR652328.1	whole genome shotgun sequencing
FR652329.1	whole genome shotgun sequencing
FR652330.1	whole genome shotgun sequencing
FR652331.1	whole genome shotgun sequencing
FR652332.1	whole genome shotgun sequencing
FR652333.1	whole genome shotgun sequencing
FR652334.1	whole genome shotgun sequencing
FR652335.1	whole genome shotgun sequencing
FR652336.1	whole genome shotgun sequencing
FR652337.1	whole genome shotgun sequencing
FR652338.1	whole genome shotgun sequencing
FR652339.1	whole genome shotgun sequencing
FR652340.1	whole genome shotgun sequencing
FR652341.1	whole genome shotgun sequencing
FR652342.1	whole genome shotgun sequencing
FR652343.1	whole genome shotgun sequencing
FR652344.1	whole genome shotgun sequencing
FR652345.1	whole genome shotgun sequencing
FR652346.1	whole genome shotgun sequencing
FR652347.1	whole genome shotgun sequencing
FR652348.1	whole genome shotgun sequencing
FR652349.1	whole genome shotgun sequencing
FR652350.1	whole genome shotgun sequencing
FR652351.1	whole genome shotgun sequencing
FR652352.1	whole genome shotgun sequencing
FR652353.1	whole genome shotgun sequencing
FR652354.1	whole genome shotgun sequencing
FR652355.1	whole genome shotgun sequencing
FR652356.1	whole genome shotgun sequencing
FR652357.1	whole genome shotgun sequencing
FR652358.1	whole genome shotgun sequencing
FR652359.1	whole genome shotgun sequencing
FR652360.1	whole genome shotgun sequencing
FR652361.1	whole genome shotgun sequencing
FR652362.1	whole genome shotgun sequencing
FR652363.1	whole genome shotgun sequencing
FR652364.1	whole genome shotgun sequencing
FR652365.1	whole genome shotgun sequencing
FR652366.1	whole genome shotgun sequencing
FR652367.1	whole genome shotgun sequencing
FR652368.1	whole genome shotgun sequencing
FR652369.1	whole genome shotgun sequencing
FR652370.1	whole genome shotgun sequencing
FR652371.1	whole genome shotgun sequencing
FR652372.1	whole genome shotgun sequencing
FR652373.1	whole genome shotgun sequencing
FR652374.1	whole genome shotgun sequencing
FR652375.1	whole genome shotgun sequencing
FR652376.1	whole genome shotgun sequencing
FR652377.1	whole genome shotgun sequencing
FR652378.1	whole genome shotgun sequencing
FR652379.1	whole genome shotgun sequencing
FR652380.1	whole genome shotgun sequencing
FR652381.1	whole genome shotgun sequencing
FR652382.1	whole genome shotgun sequencing
FR652383.1	whole genome shotgun sequencing
FR652384.1	whole genome shotgun sequencing
FR652385.1	whole genome shotgun sequencing
FR652386.1	whole genome shotgun sequencing
FR652387.1	whole genome shotgun sequencing
FR652388.1	whole genome shotgun sequencing
FR652389.1	whole genome shotgun sequencing
FR652390.1	whole genome shotgun sequencing
FR652391.1	whole genome shotgun sequencing
FR652392.1	whole genome shotgun sequencing
FR652393.1	whole genome shotgun sequencing
FR652394.1	whole genome shotgun sequencing
FR652395.1	whole genome shotgun sequencing
FR652396.1	whole genome shotgun sequencing
FR652397.1	whole genome shotgun sequencing
FR652398.1	whole genome shotgun sequencing
FR652399.1	whole genome shotgun sequencing
FR652400.1	whole genome shotgun sequencing
FR652401.1	whole genome shotgun sequencing
FR652402.1	whole genome shotgun sequencing
FR652403.1	whole genome shotgun sequencing
FR652404.1	whole genome shotgun sequencing
FR652405.1	whole genome shotgun sequencing
FR652406.1	whole genome shotgun sequencing
FR652407.1	whole genome shotgun sequencing
FR652408.1	whole genome shotgun sequencing
FR652409.1	whole genome shotgun sequencing
FR652410.1	whole genome shotgun sequencing
FR652411.1	whole genome shotgun sequencing
FR652412.1	whole genome shotgun sequencing
FR652413.1	whole genome shotgun sequencing
FR652414.1	whole genome shotgun sequencing
FR652415.1	whole genome shotgun sequencing
FR652416.1	whole genome shotgun sequencing
FR652417.1	whole genome shotgun sequencing
FR652418.1	whole genome shotgun sequencing
FR652419.1	whole genome shotgun sequencing
FR652420.1	whole genome shotgun sequencing
FR652421.1	whole genome shotgun sequencing
FR652422.1	whole genome shotgun sequencing
FR652423.1	whole genome shotgun sequencing
FR652424.1	whole genome shotgun sequencing
FR652425.1	whole genome shotgun sequencing
FR652426.1	whole genome shotgun sequencing
FR652427.1	whole genome shotgun sequencing
FR652428.1	whole genome shotgun sequencing
FR652429.1	whole genome shotgun sequencing
FR652430.1	whole genome shotgun sequencing
FR652431.1	whole genome shotgun sequencing
FR652432.1	whole genome shotgun sequencing
FR652433.1	whole genome shotgun sequencing
FR652434.1	whole genome shotgun sequencing
FR652435.1	whole genome shotgun sequencing
FR652436.1	whole genome shotgun sequencing
FR652437.1	whole genome shotgun sequencing
FR652438.1	whole genome shotgun sequencing
FR652439.1	whole genome shotgun sequencing
FR652440.1	whole genome shotgun sequencing
FR652441.1	whole genome shotgun sequencing
FR652442.1	whole genome shotgun sequencing
FR652443.1	whole genome shotgun sequencing
FR652444.1	whole genome shotgun sequencing
FR652445.1	whole genome shotgun sequencing
FR652446.1	whole genome shotgun sequencing
FR652447.1	whole genome shotgun sequencing
FR652448.1	whole genome shotgun sequencing
FR652449.1	whole genome shotgun sequencing
FR652450.1	whole genome shotgun sequencing
FR652451.1	whole genome shotgun sequencing
FR652452.1	whole genome shotgun sequencing
FR652453.1	whole genome shotgun sequencing
FR652454.1	whole genome shotgun sequencing
FR652455.1	whole genome shotgun sequencing
FR652456.1	whole genome shotgun sequencing
FR652457.1	whole genome shotgun sequencing
FR652458.1	whole genome shotgun sequencing
FR652459.1	whole genome shotgun sequencing
FR652460.1	whole genome shotgun sequencing
FR652461.1	whole genome shotgun sequencing
FR652462.1	whole genome shotgun sequencing
FR652463.1	whole genome shotgun sequencing
FR652464.1	whole genome shotgun sequencing
FR652465.1	whole genome shotgun sequencing
FR652466.1	whole genome shotgun sequencing
FR652467.1	whole genome shotgun sequencing
FR652468.1	whole genome shotgun sequencing
FR652469.1	whole genome shotgun sequencing
FR652470.1	whole genome shotgun sequencing
FR652471.1	whole genome shotgun sequencing
FR652472.1	whole genome shotgun sequencing
FR652473.1	whole genome shotgun sequencing
FR652474.1	whole genome shotgun sequencing
FR652475.1	whole genome shotgun sequencing
FR652476.1	whole genome shotgun sequencing
FR652477.1	whole genome shotgun sequencing
FR652478.1	whole genome shotgun sequencing
FR652479.1	whole genome shotgun sequencing
FR652480.1	whole genome shotgun sequencing
FR652481.1	whole genome shotgun sequencing
FR652482.1	whole genome shotgun sequencing
FR652483.1	whole genome shotgun sequencing
FR652484.1	whole genome shotgun sequencing
FR652485.1	whole genome shotgun sequencing
FR652486.1	whole genome shotgun sequencing
FR652487.1	whole genome shotgun sequencing
FR652488.1	whole genome shotgun sequencing
FR652489.1	whole genome shotgun sequencing
FR652490.1	whole genome shotgun sequencing
FR652491.1	whole genome shotgun sequencing
FR652492.1	whole genome shotgun sequencing
FR652493.1	whole genome shotgun sequencing
FR652494.1	whole genome shotgun sequencing
FR652495.1	whole genome shotgun sequencing
FR652496.1	whole genome shotgun sequencing
FR652497.1	whole genome shotgun sequencing
FR652498.1	whole genome shotgun sequencing
FR652499.1	whole genome shotgun sequencing
FR652500.1	whole genome shotgun sequencing
FR652501.1	whole genome shotgun sequencing
FR652502.1	whole genome shotgun sequencing
FR652503.1	whole genome shotgun sequencing
FR652504.1	whole genome shotgun sequencing
FR652505.1	whole genome shotgun sequencing
FR652506.1	whole genome shotgun sequencing
FR652507.1	whole genome shotgun sequencing
FR652508.1	whole genome shotgun sequencing
FR652509.1	whole genome shotgun sequencing
FR652510.1	whole genome shotgun sequencing
FR652511.1	whole genome shotgun sequencing
FR652512.1	whole genome shotgun sequencing
FR652513.1	whole genome shotgun sequencing
FR652514.1	whole genome shotgun sequencing
FR652515.1	whole genome shotgun sequencing
FR652516.1	whole genome shotgun sequencing
FR652517.1	whole genome shotgun sequencing
FR652518.1	whole genome shotgun sequencing
FR652519.1	whole genome shotgun sequencing
FR652520.1	whole genome shotgun sequencing
FR652521.1	whole genome shotgun sequencing
FR652522.1	whole genome shotgun sequencing
FR652523.1	whole genome shotgun sequencing
FR652524.1	whole genome shotgun sequencing
FR652525.1	whole genome shotgun sequencing
FR652526.1	whole genome shotgun sequencing
FR652527.1	whole genome shotgun sequencing
FR652528.1	whole genome shotgun sequencing
FR652529.1	whole genome shotgun sequencing
FR652530.1	whole genome shotgun sequencing
FR652531.1	whole genome shotgun sequencing
FR652532.1	whole genome shotgun sequencing
FR652533.1	whole genome shotgun sequencing
FR652534.1	whole genome shotgun sequencing
FR652535.1	whole genome shotgun sequencing
FR652536.1	whole genome shotgun sequencing
FR652537.1	whole genome shotgun sequencing
FR652538.1	whole genome shotgun sequencing
FR652539.1	whole genome shotgun sequencing
FR652540.1	whole genome shotgun sequencing
FR652541.1	whole genome shotgun sequencing
